iter	Passed	Remaining
0	67	13531
1	133	13205
2	199	13089
3	266	13039
4	335	13073
5	401	12991
6	470	12982
7	542	13026
8	613	13028
9	686	13045
10	758	13034
11	831	13031
12	908	13068
13	992	13185
14	1075	13268
15	1162	13363
16	1250	13460
17	1336	13510
18	1425	13579
19	1519	13671
20	1610	13725
21	1699	13753
22	1780	13702
23	1866	13686
24	1942	13594
25	2022	13535
26	2106	13500
27	2254	13848
28	2345	13829
29	2422	13727
30	2567	13995
31	2686	14101
32	2820	14273
33	2951	14409
34	3053	14393
35	3157	14385
36	3283	14462
37	3393	14467
38	3498	14444
39	3610	14443
40	3722	14434
41	3849	14479
42	4039	14748
43	4175	14802
44	4396	15145
45	4546	15221
46	4689	15265
47	4856	15379
48	4979	15346
49	5098	15295
50	5219	15250
51	5454	15524
52	5756	15967
53	6058	16379
54	6286	16572
55	6430	16534
56	6594	16544
57	6694	16390
58	6853	16378
59	7018	16375
60	7171	16341
61	7636	16997
62	8026	17453
63	8305	17649
64	8550	17758
65	8920	18111
66	9068	18002
67	9155	17771
68	9250	17562
69	9346	17357
70	9439	17150
71	9526	16935
72	9613	16724
73	9706	16527
74	9828	16380
75	9918	16182
76	10010	15990
77	10103	15802
78	10193	15612
79	10280	15421
80	10370	15236
81	10462	15055
82	10555	14878
83	10640	14694
84	10743	14534
85	10851	14385
86	11062	14367
87	11342	14436
88	11626	14500
89	11850	14484
90	12084	14474
91	12276	14411
92	12477	14355
93	12598	14207
94	12737	14078
95	12864	13936
96	13008	13813
97	13165	13702
98	13331	13601
99	13543	13543
100	13727	13456
101	13849	13306
102	14019	13202
103	14175	13084
104	14350	12984
105	14473	12834
106	14627	12713
107	14755	12569
108	14882	12424
109	14997	12270
110	15107	12113
111	15206	11948
112	15300	11780
113	15475	11674
114	15589	11522
115	15713	11378
116	15854	11247
117	15991	11112
118	16114	10968
119	16210	10806
120	16366	10685
121	16561	10588
122	16811	10524
123	16948	10387
124	17121	10273
125	17286	10152
126	17456	10033
127	17586	9892
128	17747	9767
129	17948	9664
130	18157	9563
131	18326	9441
132	18425	9282
133	18518	9121
134	18603	8957
135	18751	8824
136	18852	8669
137	18937	8508
138	19024	8348
139	19133	8200
140	19257	8058
141	19337	7898
142	19471	7761
143	19561	7607
144	19646	7452
145	19759	7308
146	19892	7172
147	20086	7057
148	20228	6923
149	20383	6794
150	20570	6675
151	20711	6540
152	20893	6418
153	21124	6309
154	21429	6221
155	21650	6106
156	21793	5968
157	21933	5830
158	22083	5694
159	22239	5559
160	22392	5424
161	22503	5278
162	22595	5128
163	22725	4988
164	22921	4862
165	23164	4744
166	23475	4638
167	23717	4517
168	23862	4377
169	23997	4234
170	24152	4096
171	24346	3963
172	24488	3821
173	24641	3682
174	24827	3546
175	25006	3409
176	25157	3269
177	25392	3138
178	25545	2996
179	25715	2857
180	25840	2712
181	25996	2571
182	26122	2426
183	26253	2282
184	26391	2139
185	26504	1994
186	26638	1851
187	26764	1708
188	26941	1568
189	27075	1425
190	27163	1279
191	27413	1142
192	27544	999
193	27659	855
194	27807	713
195	28001	571
196	28164	428
197	28375	286
198	28530	143
199	28660	0
